DATE,FTSE100,Nikkei,SP500,SSE,USDINDEX
2007/2/26,-0.024880079,0.01882515,-0.035480033,0.013951042,0.000659492
2007/2/27,-0.018400606,-0.005252743,-0.002597806,-0.092560888,-0.001438891
2007/2/28,-0.009022231,-0.028878964,-0.011468262,0.038669106,0.001546878
2007/3/1,3.27E-05,-0.008592155,-0.00945221,-0.029547473,0.000999104
2007/3/2,-0.009460526,-0.013589497,0.015374781,0.012200425,0.000342056
2007/3/5,0.013099926,-0.034006622,-0.002468314,-0.016458038,0.003101919
2007/3/6,0.002919881,0.012079551,0.007101348,0.019507979,-0.001632307
2007/3/7,0.011498668,-0.004753532,0.000677392,0.019669875,-0.000579582
2007/3/8,0.002812495,0.019241006,0.002676699,0.010789121,0.001202899
2007/3/9,-0.001915293,0.004304774,-0.020578576,0.003373732,-0.001201873
2007/3/12,-0.011639231,0.007450114,0.00666888,0.005771154,-0.001587618
2007/3/13,-0.026385653,-0.006588172,0.00367698,0.003337966,-0.000832812
2007/3/14,0.021842102,-0.029654418,-0.003835656,-0.019915047,0.000571734
2007/3/15,-0.000427273,0.010943155,0.010835569,0.01548811,-0.000290967
2007/3/16,0.009539064,-0.006918155,0.006313481,-0.007214039,-0.002129825
2007/3/19,0.004980018,0.01572603,0.016936643,0.028248145,0.000674747
2007/3/20,0.005852371,0.008992515,-0.000348483,0.005872099,-0.003173727
2007/3/22,0.013116894,0.01480549,0.002061226,0.012789735,-0.004236299
2007/3/23,-0.007511523,0.00351923,-0.006203561,0.000996106,0.001833584
2007/3/26,0.000103301,0.002362774,-0.007997685,0.015660926,-0.000175025
2007/3/27,-0.004041471,-0.008995395,0.003732749,0.005115253,-0.000968886
2007/3/28,0.009049102,-0.006373274,-0.001174685,0.010834385,0.000348285
2007/3/29,-0.002556957,0.000533565,0.002593697,0.007697654,0.000179278
2007/3/30,0.001188254,0.001372495,0.009237307,-0.00424796,-0.001954104
2007/4/2,0.007976929,-0.015109261,0.001112198,0.02132023,-8.31E-06
2007/4/3,-0.00022151,0.012584067,0.003045314,0.011829211,0.000621708
2007/4/4,0.005115181,0.01724993,0.00058855,7.38E-05,-0.00013282
2007/4/5,0.003188426,-0.003006662,0.002613227,0.008349535,-0.002553988
2007/4/10,-0.000704543,0.00985723,-0.000407408,0.037012401,-9.36E-06
2007/4/11,0.000486375,0.000304565,0.003481931,0.014679417,-0.00092221
2007/4/12,0.007152871,-0.007364338,0.010598543,0.010191845,-0.002391712
2007/4/13,0.008289045,-0.010111754,0.002143013,-0.00362078,-0.000928407
2007/4/16,-0.002833873,0.015109436,0.000692953,0.021976158,-0.001643795
2007/4/17,-0.007479679,-0.005737431,-0.001202774,0.004280954,-0.001786977
2007/4/18,-0.001363856,0.007948997,0.009218087,0.000145587,-0.000758283
2007/4/19,0.007144589,-0.016859148,-0.002306645,-0.046282257,-0.000416618
